Team Name,Team Abbr.,League,Season,Division,Division Rank,Conference,Conference Rank,Made Playoffs,First Round Wins,First Round Losses,First Round Opp.,Won First Round,Semifinals Wins,Semifinals Losses,Semifinals Opp.,Won Semifinals,Conf. Finals Wins,Conf. Finals Losses,Conf. Finals Opp.,Won Conf. Finals,Finals Wins,Finals Losses,Finals Opp.,Won Finals
Los Angeles D-Fenders,LOS,G League,2008,West,2,NA,NA,Yes,1,0,Colorado 14ers,Yes,0,1,Idaho Stampede,No,NA,NA,NA,NA,NA,NA,NA,NA
Utah Flash,UTA,G League,2008,West,3,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anaheim Arsenal,ANA,G League,2008,West,4,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bakersfield Jam,BAK,G League,2008,West,5,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iowa Energy,IWE,G League,2009,Central,1,NA,NA,Yes,0,1,Dakota Wizards,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dakota Wizards,DAK,G League,2009,Central,2,NA,NA,Yes,1,0,Iowa Energy,Yes,0,1,Utah Flash,No,NA,NA,NA,NA,NA,NA,NA,NA
Erie BayHawks,ERI,G League,2009,Central,3,NA,NA,Yes,0,1,Colorado 14ers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sioux Falls Skyforce,SXF,G League,2009,Central,4,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fort Wayne Mad Ants,FWN,G League,2009,Central,5,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colorado 14ers,COL,G League,2009,Southwest,1,NA,NA,Yes,1,0,Erie BayHawks,Yes,1,0,Austin Toros,Yes,NA,NA,NA,NA,2,0,Utah Flash,Yes
Austin Toros,AST,G League,2009,Southwest,2,NA,NA,Yes,1,0,Idaho Stampede,Yes,0,1,Colorado 14ers,No,NA,NA,NA,NA,NA,NA,NA,NA
Albuquerque Thunderbirds,ABQ,G League,2009,Southwest,3,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Grande Valley Vipers,RGV,G League,2009,Southwest,4,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tulsa 66ers,TUL,G League,2009,Southwest,5,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utah Flash,UTA,G League,2009,West,1,NA,NA,Yes,1,0,Bakersfield Jam,Yes,1,0,Dakota Wizards,Yes,NA,NA,NA,NA,0,2,Colorado 14ers,No
Idaho Stampede,IDA,G League,2009,West,2,NA,NA,Yes,0,1,Austin Toros,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bakersfield Jam,BAK,G League,2009,West,3,NA,NA,Yes,0,1,Utah Flash,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reno Bighorns,REN,G League,2009,West,4,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles D-Fenders,LOS,G League,2009,West,5,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anaheim Arsenal,ANA,G League,2009,West,6,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iowa Energy,IWE,G League,2010,Eastern,1,NA,NA,Yes,2,1,Utah Flash,Yes,1,2,Tulsa 66ers,No,NA,NA,NA,NA,NA,NA,NA,NA
Sioux Falls Skyforce,SXF,G League,2010,Eastern,2,NA,NA,Yes,1,2,Tulsa 66ers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
