Team Name,Team Abbr.,Season,League,URL
Greensboro Swarm,GBO,2023,G League,https://www.basketball-reference.com/gleague/teams/GBO/2023.html
Greensboro Swarm,GBO,2024,G League,https://www.basketball-reference.com/gleague/teams/GBO/2024.html
Indiana Mad Ants,IND,2024,G League,https://www.basketball-reference.com/gleague/teams/IND/2024.html
Fort Wayne Mad Ants,FWN,2008,G League,https://www.basketball-reference.com/gleague/teams/FWN/2008.html
Fort Wayne Mad Ants,FWN,2009,G League,https://www.basketball-reference.com/gleague/teams/FWN/2009.html
Fort Wayne Mad Ants,FWN,2010,G League,https://www.basketball-reference.com/gleague/teams/FWN/2010.html
Fort Wayne Mad Ants,FWN,2011,G League,https://www.basketball-reference.com/gleague/teams/FWN/2011.html
Fort Wayne Mad Ants,FWN,2012,G League,https://www.basketball-reference.com/gleague/teams/FWN/2012.html
Fort Wayne Mad Ants,FWN,2013,G League,https://www.basketball-reference.com/gleague/teams/FWN/2013.html
Fort Wayne Mad Ants,FWN,2014,G League,https://www.basketball-reference.com/gleague/teams/FWN/2014.html
Fort Wayne Mad Ants,FWN,2015,G League,https://www.basketball-reference.com/gleague/teams/FWN/2015.html
Fort Wayne Mad Ants,FWN,2016,G League,https://www.basketball-reference.com/gleague/teams/FWN/2016.html
Fort Wayne Mad Ants,FWN,2017,G League,https://www.basketball-reference.com/gleague/teams/FWN/2017.html
Fort Wayne Mad Ants,FWN,2018,G League,https://www.basketball-reference.com/gleague/teams/FWN/2018.html
Fort Wayne Mad Ants,FWN,2019,G League,https://www.basketball-reference.com/gleague/teams/FWN/2019.html
Fort Wayne Mad Ants,FWN,2020,G League,https://www.basketball-reference.com/gleague/teams/FWN/2020.html
Fort Wayne Mad Ants,FWN,2021,G League,https://www.basketball-reference.com/gleague/teams/FWN/2021.html
Fort Wayne Mad Ants,FWN,2022,G League,https://www.basketball-reference.com/gleague/teams/FWN/2022.html
Fort Wayne Mad Ants,FWN,2023,G League,https://www.basketball-reference.com/gleague/teams/FWN/2023.html
Iowa Wolves,IWA,2018,G League,https://www.basketball-reference.com/gleague/teams/IWA/2018.html
Iowa Wolves,IWA,2019,G League,https://www.basketball-reference.com/gleague/teams/IWA/2019.html
Iowa Wolves,IWA,2020,G League,https://www.basketball-reference.com/gleague/teams/IWA/2020.html
Iowa Wolves,IWA,2021,G League,https://www.basketball-reference.com/gleague/teams/IWA/2021.html
Iowa Wolves,IWA,2022,G League,https://www.basketball-reference.com/gleague/teams/IWA/2022.html
Iowa Wolves,IWA,2023,G League,https://www.basketball-reference.com/gleague/teams/IWA/2023.html
Iowa Wolves,IWA,2024,G League,https://www.basketball-reference.com/gleague/teams/IWA/2024.html
Iowa Energy,IWE,2008,G League,https://www.basketball-reference.com/gleague/teams/IWE/2008.html
Iowa Energy,IWE,2009,G League,https://www.basketball-reference.com/gleague/teams/IWE/2009.html
Iowa Energy,IWE,2010,G League,https://www.basketball-reference.com/gleague/teams/IWE/2010.html
Iowa Energy,IWE,2011,G League,https://www.basketball-reference.com/gleague/teams/IWE/2011.html
Iowa Energy,IWE,2012,G League,https://www.basketball-reference.com/gleague/teams/IWE/2012.html
Iowa Energy,IWE,2013,G League,https://www.basketball-reference.com/gleague/teams/IWE/2013.html
Iowa Energy,IWE,2014,G League,https://www.basketball-reference.com/gleague/teams/IWE/2014.html
Iowa Energy,IWE,2015,G League,https://www.basketball-reference.com/gleague/teams/IWE/2015.html
Iowa Energy,IWE,2016,G League,https://www.basketball-reference.com/gleague/teams/IWE/2016.html
Iowa Energy,IWE,2017,G League,https://www.basketball-reference.com/gleague/teams/IWE/2017.html
Long Island Nets,LIN,2017,G League,https://www.basketball-reference.com/gleague/teams/LIN/2017.html
Long Island Nets,LIN,2018,G League,https://www.basketball-reference.com/gleague/teams/LIN/2018.html
Long Island Nets,LIN,2019,G League,https://www.basketball-reference.com/gleague/teams/LIN/2019.html
Long Island Nets,LIN,2020,G League,https://www.basketball-reference.com/gleague/teams/LIN/2020.html
Long Island Nets,LIN,2021,G League,https://www.basketball-reference.com/gleague/teams/LIN/2021.html
Long Island Nets,LIN,2022,G League,https://www.basketball-reference.com/gleague/teams/LIN/2022.html
Long Island Nets,LIN,2023,G League,https://www.basketball-reference.com/gleague/teams/LIN/2023.html
Long Island Nets,LIN,2024,G League,https://www.basketball-reference.com/gleague/teams/LIN/2024.html
Maine Celtics,MNE,2022,G League,https://www.basketball-reference.com/gleague/teams/MNE/2022.html
Maine Celtics,MNE,2023,G League,https://www.basketball-reference.com/gleague/teams/MNE/2023.html
Maine Celtics,MNE,2024,G League,https://www.basketball-reference.com/gleague/teams/MNE/2024.html
Maine Red Claws,MAI,2010,G League,https://www.basketball-reference.com/gleague/teams/MAI/2010.html
Maine Red Claws,MAI,2011,G League,https://www.basketball-reference.com/gleague/teams/MAI/2011.html
Maine Red Claws,MAI,2012,G League,https://www.basketball-reference.com/gleague/teams/MAI/2012.html
Maine Red Claws,MAI,2013,G League,https://www.basketball-reference.com/gleague/teams/MAI/2013.html
Maine Red Claws,MAI,2014,G League,https://www.basketball-reference.com/gleague/teams/MAI/2014.html
Maine Red Claws,MAI,2015,G League,https://www.basketball-reference.com/gleague/teams/MAI/2015.html
Maine Red Claws,MAI,2016,G League,https://www.basketball-reference.com/gleague/teams/MAI/2016.html
Maine Red Claws,MAI,2017,G League,https://www.basketball-reference.com/gleague/teams/MAI/2017.html
Maine Red Claws,MAI,2018,G League,https://www.basketball-reference.com/gleague/teams/MAI/2018.html
Maine Red Claws,MAI,2019,G League,https://www.basketball-reference.com/gleague/teams/MAI/2019.html
Maine Red Claws,MAI,2020,G League,https://www.basketball-reference.com/gleague/teams/MAI/2020.html
Memphis Hustle,MHU,2018,G League,https://www.basketball-reference.com/gleague/teams/MHU/2018.html
Memphis Hustle,MHU,2019,G League,https://www.basketball-reference.com/gleague/teams/MHU/2019.html
Memphis Hustle,MHU,2020,G League,https://www.basketball-reference.com/gleague/teams/MHU/2020.html
Memphis Hustle,MHU,2021,G League,https://www.basketball-reference.com/gleague/teams/MHU/2021.html
Memphis Hustle,MHU,2022,G League,https://www.basketball-reference.com/gleague/teams/MHU/2022.html
Memphis Hustle,MHU,2023,G League,https://www.basketball-reference.com/gleague/teams/MHU/2023.html
Memphis Hustle,MHU,2024,G League,https://www.basketball-reference.com/gleague/teams/MHU/2024.html
Motor City Cruise,MCC,2022,G League,https://www.basketball-reference.com/gleague/teams/MCC/2022.html
Motor City Cruise,MCC,2023,G League,https://www.basketball-reference.com/gleague/teams/MCC/2023.html
Motor City Cruise,MCC,2024,G League,https://www.basketball-reference.com/gleague/teams/MCC/2024.html
Northern Arizona Suns,NAS,2017,G League,https://www.basketball-reference.com/gleague/teams/NAS/2017.html
Northern Arizona Suns,NAS,2018,G League,https://www.basketball-reference.com/gleague/teams/NAS/2018.html
Northern Arizona Suns,NAS,2019,G League,https://www.basketball-reference.com/gleague/teams/NAS/2019.html
Northern Arizona Suns,NAS,2020,G League,https://www.basketball-reference.com/gleague/teams/NAS/2020.html
Bakersfield Jam,BAK,2007,G League,https://www.basketball-reference.com/gleague/teams/BAK/2007.html
Bakersfield Jam,BAK,2008,G League,https://www.basketball-reference.com/gleague/teams/BAK/2008.html
Bakersfield Jam,BAK,2009,G League,https://www.basketball-reference.com/gleague/teams/BAK/2009.html
Bakersfield Jam,BAK,2010,G League,https://www.basketball-reference.com/gleague/teams/BAK/2010.html
Bakersfield Jam,BAK,2011,G League,https://www.basketball-reference.com/gleague/teams/BAK/2011.html
Bakersfield Jam,BAK,2012,G League,https://www.basketball-reference.com/gleague/teams/BAK/2012.html
Bakersfield Jam,BAK,2013,G League,https://www.basketball-reference.com/gleague/teams/BAK/2013.html
Bakersfield Jam,BAK,2014,G League,https://www.basketball-reference.com/gleague/teams/BAK/2014.html
Bakersfield Jam,BAK,2015,G League,https://www.basketball-reference.com/gleague/teams/BAK/2015.html
Bakersfield Jam,BAK,2016,G League,https://www.basketball-reference.com/gleague/teams/BAK/2016.html
Oklahoma City Blue,OKL,2015,G League,https://www.basketball-reference.com/gleague/teams/OKL/2015.html
Oklahoma City Blue,OKL,2016,G League,https://www.basketball-reference.com/gleague/teams/OKL/2016.html
Oklahoma City Blue,OKL,2017,G League,https://www.basketball-reference.com/gleague/teams/OKL/2017.html
Oklahoma City Blue,OKL,2018,G League,https://www.basketball-reference.com/gleague/teams/OKL/2018.html
Oklahoma City Blue,OKL,2019,G League,https://www.basketball-reference.com/gleague/teams/OKL/2019.html
Oklahoma City Blue,OKL,2020,G League,https://www.basketball-reference.com/gleague/teams/OKL/2020.html
Oklahoma City Blue,OKL,2021,G League,https://www.basketball-reference.com/gleague/teams/OKL/2021.html
Oklahoma City Blue,OKL,2022,G League,https://www.basketball-reference.com/gleague/teams/OKL/2022.html
Oklahoma City Blue,OKL,2023,G League,https://www.basketball-reference.com/gleague/teams/OKL/2023.html
Oklahoma City Blue,OKL,2024,G League,https://www.basketball-reference.com/gleague/teams/OKL/2024.html
Tulsa 66ers,TUL,2006,G League,https://www.basketball-reference.com/gleague/teams/TUL/2006.html
Tulsa 66ers,TUL,2007,G League,https://www.basketball-reference.com/gleague/teams/TUL/2007.html
Tulsa 66ers,TUL,2008,G League,https://www.basketball-reference.com/gleague/teams/TUL/2008.html
Tulsa 66ers,TUL,2009,G League,https://www.basketball-reference.com/gleague/teams/TUL/2009.html
Tulsa 66ers,TUL,2010,G League,https://www.basketball-reference.com/gleague/teams/TUL/2010.html
Tulsa 66ers,TUL,2011,G League,https://www.basketball-reference.com/gleague/teams/TUL/2011.html
Tulsa 66ers,TUL,2012,G League,https://www.basketball-reference.com/gleague/teams/TUL/2012.html
Tulsa 66ers,TUL,2013,G League,https://www.basketball-reference.com/gleague/teams/TUL/2013.html
Tulsa 66ers,TUL,2014,G League,https://www.basketball-reference.com/gleague/teams/TUL/2014.html
Asheville Altitude,ASH,2002,G League,https://www.basketball-reference.com/gleague/teams/ASH/2002.html
