Team Name,Team Abbr.,League,Season,Division,Division Rank,Conference,Conference Rank,Play-In,Win Play-In,First Round Wins,First Round Losses,First Round Opp.,Won First Round,Second Round Wins,Second Round Losses,Second Round Opp.,Won Second Round,Semifinals Wins,Semifinals Losses,Semifinals Opp.,Won Semifinals,Finals Wins,Finals Losses,Finals Opp.,Won Finals
Minneapolis Lakers,MNL,BAA,1949,Western,2,NA,NA,No,No,2,0,Chicago Stags,Yes,NA,NA,NA,NA,2,0,Rochester Royals,Yes,4,2,Washington Capitols,Yes
Chicago Stags,CHS,BAA,1949,Western,3,NA,NA,No,No,0,2,Minneapolis Lakers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Louis Bombers,STB,BAA,1949,Western,4,NA,NA,No,No,0,2,Rochester Royals,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fort Wayne Pistons,FTW,BAA,1949,Western,5,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indianapolis Jets,INJ,BAA,1949,Western,6,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minneapolis Lakers,MNL,NBA,1950,Central,1,NA,NA,No,No,2,0,Chicago Stags,Yes,2,0,Fort Wayne Pistons,Yes,2,0,Anderson Packers,Yes,4,2,Syracuse Nationals,Yes
Rochester Royals,ROC,NBA,1950,Central,2,NA,NA,No,No,0,2,Fort Wayne Pistons,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fort Wayne Pistons,FTW,NBA,1950,Central,3,NA,NA,No,No,2,0,Rochester Royals,Yes,0,2,Minneapolis Lakers,No,NA,NA,NA,NA,NA,NA,NA,NA
Chicago Stags,CHS,NBA,1950,Central,4,NA,NA,No,No,0,2,Minneapolis Lakers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Louis Bombers,STB,NBA,1950,Central,5,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syracuse Nationals,SYR,NBA,1950,Eastern,1,NA,NA,No,No,2,0,Philadelphia Warriors,Yes,2,1,New York Knicks,Yes,NA,NA,NA,NA,2,4,Minneapolis Lakers,No
New York Knicks,NYK,NBA,1950,Eastern,2,NA,NA,No,No,2,0,Washington Capitols,Yes,1,2,Syracuse Nationals,No,NA,NA,NA,NA,NA,NA,NA,NA
Washington Capitols,WSC,NBA,1950,Eastern,3,NA,NA,No,No,0,2,New York Knicks,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philadelphia Warriors,PHW,NBA,1950,Eastern,4,NA,NA,No,No,0,2,Syracuse Nationals,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baltimore Bullets,BLB,NBA,1950,Eastern,5,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston Celtics,BOS,NBA,1950,Eastern,6,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indianapolis Olympians,INO,NBA,1950,Western,1,NA,NA,No,No,2,1,Sheboygan Red Skins,Yes,1,2,Anderson Packers,No,NA,NA,NA,NA,NA,NA,NA,NA
Anderson Packers,AND,NBA,1950,Western,2,NA,NA,No,No,2,1,Tri-Cities Blackhawks,Yes,2,1,Indianapolis Olympians,Yes,0,2,Minneapolis Lakers,No,NA,NA,NA,NA
Tri-Cities Blackhawks,TRI,NBA,1950,Western,3,NA,NA,No,No,1,2,Anderson Packers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sheboygan Red Skins,SHE,NBA,1950,Western,4,NA,NA,No,No,1,2,Indianapolis Olympians,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Waterloo Hawks,WAT,NBA,1950,Western,5,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denver Nuggets,DNN,NBA,1950,Western,6,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philadelphia Warriors,PHW,NBA,1951,Eastern,1,NA,NA,No,No,0,2,Syracuse Nationals,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston Celtics,BOS,NBA,1951,Eastern,2,NA,NA,No,No,0,2,New York Knicks,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York Knicks,NYK,NBA,1951,Eastern,3,NA,NA,No,No,2,0,Boston Celtics,Yes,NA,NA,NA,NA,3,2,Syracuse Nationals,Yes,3,4,Rochester Royals,No
Syracuse Nationals,SYR,NBA,1951,Eastern,4,NA,NA,No,No,2,0,Philadelphia Warriors,Yes,NA,NA,NA,NA,2,3,New York Knicks,No,NA,NA,NA,NA
Baltimore Bullets,BLB,NBA,1951,Eastern,5,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington Capitols,WSC,NBA,1951,Eastern,6,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minneapolis Lakers,MNL,NBA,1951,Western,1,NA,NA,No,No,2,1,Indianapolis Olympians,Yes,NA,NA,NA,NA,1,3,Rochester Royals,No,NA,NA,NA,NA
Rochester Royals,ROC,NBA,1951,Western,2,NA,NA,No,No,2,1,Fort Wayne Pistons,Yes,NA,NA,NA,NA,3,1,Minneapolis Lakers,Yes,4,3,New York Knicks,Yes
Fort Wayne Pistons,FTW,NBA,1951,Western,3,NA,NA,No,No,1,2,Rochester Royals,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indianapolis Olympians,INO,NBA,1951,Western,4,NA,NA,No,No,1,2,Minneapolis Lakers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tri-Cities Blackhawks,TRI,NBA,1951,Western,5,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syracuse Nationals,SYR,NBA,1952,Eastern,1,NA,NA,No,No,2,1,Philadelphia Warriors,Yes,NA,NA,NA,NA,1,3,New York Knicks,No,NA,NA,NA,NA
Boston Celtics,BOS,NBA,1952,Eastern,2,NA,NA,No,No,1,2,New York Knicks,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York Knicks,NYK,NBA,1952,Eastern,3,NA,NA,No,No,2,1,Boston Celtics,Yes,NA,NA,NA,NA,3,1,Syracuse Nationals,Yes,3,4,Minneapolis Lakers,No
Philadelphia Warriors,PHW,NBA,1952,Eastern,4,NA,NA,No,No,1,2,Syracuse Nationals,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baltimore Bullets,BLB,NBA,1952,Eastern,5,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rochester Royals,ROC,NBA,1952,Western,1,NA,NA,No,No,2,0,Fort Wayne Pistons,Yes,NA,NA,NA,NA,1,3,Minneapolis Lakers,No,NA,NA,NA,NA
Minneapolis Lakers,MNL,NBA,1952,Western,2,NA,NA,No,No,2,0,Indianapolis Olympians,Yes,NA,NA,NA,NA,3,1,Rochester Royals,Yes,4,3,New York Knicks,Yes
Indianapolis Olympians,INO,NBA,1952,Western,3,NA,NA,No,No,0,2,Minneapolis Lakers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fort Wayne Pistons,FTW,NBA,1952,Western,4,NA,NA,No,No,0,2,Rochester Royals,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Milwaukee Hawks,MLH,NBA,1952,Western,5,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York Knicks,NYK,NBA,1953,Eastern,1,NA,NA,No,No,2,0,Baltimore Bullets,Yes,NA,NA,NA,NA,3,1,Boston Celtics,Yes,1,4,Minneapolis Lakers,No
Syracuse Nationals,SYR,NBA,1953,Eastern,2,NA,NA,No,No,0,2,Boston Celtics,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston Celtics,BOS,NBA,1953,Eastern,3,NA,NA,No,No,2,0,Syracuse Nationals,Yes,NA,NA,NA,NA,1,3,Syracuse Nationals,No,NA,NA,NA,NA
Baltimore Bullets,BLB,NBA,1953,Eastern,4,NA,NA,No,No,0,2,New York Knicks,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philadelphia Warriors,PHW,NBA,1953,Eastern,5,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minneapolis Lakers,MNL,NBA,1953,Western,1,NA,NA,No,No,2,0,Indianapolis Olympians,Yes,NA,NA,NA,NA,3,2,Fort Wayne Pistons,Yes,4,1,New York Knicks,Yes
Rochester Royals,ROC,NBA,1953,Western,2,NA,NA,No,No,1,2,Fort Wayne Pistons,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fort Wayne Pistons,FTW,NBA,1953,Western,3,NA,NA,No,No,2,1,Rochester Royals,Yes,NA,NA,NA,NA,2,3,Minneapolis Lakers,No,NA,NA,NA,NA
Indianapolis Olympians,INO,NBA,1953,Western,4,NA,NA,No,No,0,2,Minneapolis Lakers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Milwaukee Hawks,MLH,NBA,1953,Western,5,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York Knicks,NYK,NBA,1954,Eastern,1,NA,NA,No,No,0,4,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syracuse Nationals,SYR,NBA,1954,Eastern,2,NA,NA,No,No,4,0,NA,Yes,NA,NA,NA,NA,2,0,Boston Celtics,Yes,3,4,Minneapolis Lakers,No
Boston Celtics,BOS,NBA,1954,Eastern,3,NA,NA,No,No,2,2,NA,Yes,NA,NA,NA,NA,0,2,Syracuse Nationals,No,NA,NA,NA,NA
Philadelphia Warriors,PHW,NBA,1954,Eastern,4,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baltimore Bullets,BLB,NBA,1954,Eastern,5,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minneapolis Lakers,MNL,NBA,1954,Western,1,NA,NA,No,No,3,0,NA,Yes,NA,NA,NA,NA,2,1,Rochester Royals,Yes,4,3,Syracuse Nationals,Yes
Rochester Royals,ROC,NBA,1954,Western,2,NA,NA,No,No,2,1,NA,Yes,NA,NA,NA,NA,1,2,Minneapolis Lakers,No,NA,NA,NA,NA
Fort Wayne Pistons,FTW,NBA,1954,Western,3,NA,NA,No,No,0,4,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Milwaukee Hawks,MLH,NBA,1954,Western,4,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syracuse Nationals,SYR,NBA,1955,Eastern,1,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,3,1,Boston Celtics,Yes,4,3,Fort Wayne Pistons,Yes
New York Knicks,NYK,NBA,1955,Eastern,2,NA,NA,No,No,1,2,New York Knicks,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston Celtics,BOS,NBA,1955,Eastern,3,NA,NA,No,No,2,1,Boston Celtics,Yes,NA,NA,NA,NA,1,3,Syracuse Nationals,No,NA,NA,NA,NA
Philadelphia Warriors,PHW,NBA,1955,Eastern,4,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baltimore Bullets,BLB,NBA,1955,Eastern,5,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fort Wayne Pistons,FTW,NBA,1955,Western,1,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,3,1,Minneapolis Lakers,Yes,3,4,Syracuse Nationals,No
Minneapolis Lakers,MNL,NBA,1955,Western,2,NA,NA,No,No,2,1,Rochester Royals,Yes,NA,NA,NA,NA,1,3,Fort Wayne Pistons,No,NA,NA,NA,NA
Rochester Royals,ROC,NBA,1955,Western,3,NA,NA,No,No,1,2,Minneapolis Lakers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Milwaukee Hawks,MLH,NBA,1955,Western,4,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philadelphia Warriors,PHW,NBA,1956,Eastern,1,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,3,2,Syracuse Nationals,Yes,4,1,Fort Wayne Pistons,Yes
Boston Celtics,BOS,NBA,1956,Eastern,2,NA,NA,No,No,1,2,Syracuse Nationals,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syracuse Nationals,SYR,NBA,1956,Eastern,3,NA,NA,No,No,2,1,Boston Celtics,Yes,NA,NA,NA,NA,2,3,Philadelphia Warriors,No,NA,NA,NA,NA
New York Knicks,NYK,NBA,1956,Eastern,4,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fort Wayne Pistons,FTW,NBA,1956,Western,1,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,3,2,St. Louis Hawks,Yes,1,4,Philadelphia Warriors,No
Minneapolis Lakers,MNL,NBA,1956,Western,2,NA,NA,No,No,1,2,St. Louis Hawks,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Louis Hawks,STL,NBA,1956,Western,3,NA,NA,No,No,2,1,Minneapolis Lakers,Yes,NA,NA,NA,NA,2,3,Fort Wayne Pistons,No,NA,NA,NA,NA
Rochester Royals,ROC,NBA,1956,Western,4,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston Celtics,BOS,NBA,1957,Eastern,1,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,3,0,Syracuse Nationals,Yes,4,3,St. Louis Hawks,Yes
Syracuse Nationals,SYR,NBA,1957,Eastern,2,NA,NA,No,No,2,0,Philadelphia Warriors,Yes,NA,NA,NA,NA,0,3,Boston Celtics,No,NA,NA,NA,NA
Philadelphia Warriors,PHW,NBA,1957,Eastern,3,NA,NA,No,No,0,2,Syracuse Nationals,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York Knicks,NYK,NBA,1957,Eastern,4,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Louis Hawks,STL,NBA,1957,Western,1,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,3,0,Minneapolis Lakers,Yes,3,4,Boston Celtics,No
Minneapolis Lakers,MNL,NBA,1957,Western,2,NA,NA,No,No,2,0,Fort Wayne Pistons,Yes,NA,NA,NA,NA,0,3,St. Louis Hawks,No,NA,NA,NA,NA
Fort Wayne Pistons,FTW,NBA,1957,Western,3,NA,NA,No,No,0,2,Minneapolis Lakers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rochester Royals,ROC,NBA,1957,Western,4,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston Celtics,BOS,NBA,1958,Eastern,1,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,4,1,Philadelphia Warriors,Yes,2,4,St. Louis Hawks,No
Syracuse Nationals,SYR,NBA,1958,Eastern,2,NA,NA,No,No,1,2,Philadelphia Warriors,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philadelphia Warriors,PHW,NBA,1958,Eastern,3,NA,NA,No,No,2,1,Syracuse Nationals,Yes,NA,NA,NA,NA,1,4,Boston Celtics,No,NA,NA,NA,NA
New York Knicks,NYK,NBA,1958,Eastern,4,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Louis Hawks,STL,NBA,1958,Western,1,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,4,1,Detroit Pistons,Yes,4,2,Boston Celtics,Yes
Detroit Pistons,DET,NBA,1958,Western,2,NA,NA,No,No,2,0,Cincinnati Royals,Yes,NA,NA,NA,NA,1,4,St. Louis Hawks,No,NA,NA,NA,NA
Cincinnati Royals,CIN,NBA,1958,Western,3,NA,NA,No,No,0,2,Detroit Pistons,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minneapolis Lakers,MNL,NBA,1958,Western,4,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston Celtics,BOS,NBA,1959,Eastern,1,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,4,3,Syracuse Nationals,Yes,4,0,Minneapolis Lakers,Yes
New York Knicks,NYK,NBA,1959,Eastern,2,NA,NA,No,No,0,2,Syracuse Nationals,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syracuse Nationals,SYR,NBA,1959,Eastern,3,NA,NA,No,No,2,0,New York Knicks,Yes,NA,NA,NA,NA,3,4,Boston Celtics,No,NA,NA,NA,NA
Philadelphia Warriors,PHW,NBA,1959,Eastern,4,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Louis Hawks,STL,NBA,1959,Western,1,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,2,4,Minneapolis Lakers,No,NA,NA,NA,NA
Minneapolis Lakers,MNL,NBA,1959,Western,2,NA,NA,No,No,2,1,Detroit Pistons,Yes,NA,NA,NA,NA,4,2,St. Louis Hawks,Yes,0,4,Boston Celtics,No
Detroit Pistons,DET,NBA,1959,Western,3,NA,NA,No,No,1,2,Minneapolis Lakers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cincinnati Royals,CIN,NBA,1959,Western,4,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston Celtics,BOS,NBA,1960,Eastern,1,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,4,2,Philadelphia Warriors,Yes,4,3,St. Louis Hawks,Yes
Philadelphia Warriors,PHW,NBA,1960,Eastern,2,NA,NA,No,No,2,1,Syracuse Nationals,Yes,NA,NA,NA,NA,2,4,Boston Celtics,No,NA,NA,NA,NA
Syracuse Nationals,SYR,NBA,1960,Eastern,3,NA,NA,No,No,1,2,Philadelphia Warriors,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York Knicks,NYK,NBA,1960,Eastern,4,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Louis Hawks,STL,NBA,1960,Western,1,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,4,3,Minneapolis Lakers,Yes,3,4,Boston Celtics,No
Detroit Pistons,DET,NBA,1960,Western,2,NA,NA,No,No,0,2,Minneapolis Lakers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minneapolis Lakers,MNL,NBA,1960,Western,3,NA,NA,No,No,2,0,Detroit Pistons,Yes,NA,NA,NA,NA,3,4,St. Louis Hawks,No,NA,NA,NA,NA
Cincinnati Royals,CIN,NBA,1960,Western,4,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston Celtics,BOS,NBA,1961,Eastern,1,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,4,1,Syracuse Nationals,Yes,4,1,St. Louis Hawks,Yes
Philadelphia Warriors,PHW,NBA,1961,Eastern,2,NA,NA,No,No,0,3,Syracuse Nationals,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syracuse Nationals,SYR,NBA,1961,Eastern,3,NA,NA,No,No,3,0,Philadelphia Warriors,Yes,NA,NA,NA,NA,1,4,Boston Celtics,No,NA,NA,NA,NA
New York Knicks,NYK,NBA,1961,Eastern,4,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Louis Hawks,STL,NBA,1961,Western,1,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,4,3,Los Angeles Lakers,Yes,1,4,Boston Celtics,No
Los Angeles Lakers,LAL,NBA,1961,Western,2,NA,NA,No,No,3,2,Detroit Pistons,Yes,NA,NA,NA,NA,3,4,St. Louis Hawks,No,NA,NA,NA,NA
Detroit Pistons,DET,NBA,1961,Western,3,NA,NA,No,No,2,3,Los Angeles Lakers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cincinnati Royals,CIN,NBA,1961,Western,4,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston Celtics,BOS,NBA,1962,Eastern,1,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,4,3,Philadelphia Warriors,Yes,4,3,Los Angeles Lakers,Yes
Philadelphia Warriors,PHW,NBA,1962,Eastern,2,NA,NA,No,No,3,2,Syracuse Nationals,Yes,NA,NA,NA,NA,3,4,Boston Celtics,No,NA,NA,NA,NA
Syracuse Nationals,SYR,NBA,1962,Eastern,3,NA,NA,No,No,2,3,Philadelphia Warriors,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York Knicks,NYK,NBA,1962,Eastern,4,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Lakers,LAL,NBA,1962,Western,1,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,4,2,Detroit Pistons,Yes,3,4,Boston Celtics,No
Cincinnati Royals,CIN,NBA,1962,Western,2,NA,NA,No,No,1,3,Detroit Pistons,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
