Team Name,Team Abbr.,League,Season,Division,Division Rank,Div. Tiebreaker Winner,Div. Tiebreaker Opp.,Div. Semifinals Wins,Div. Semifinals Losses,Div. Semifinals Opp.,Won Div. Semifinals,Div. Finals Wins,Div. Finals Losses,Div. Finals Opp.,Won Div. Finals,Finals Wins,Finals Losses,Finals Opp.,Won Finals
San Diego Conquistadors,SDA,ABA,1975,Western,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denver Nuggets,DNA,ABA,1976,ABA,1,NA,NA,NA,NA,NA,NA,4,3,Kentucky Colonels,Yes,2,4,New York Nets,No
New York Nets,NYA,ABA,1976,ABA,2,NA,NA,NA,NA,NA,NA,4,3,San Antonio Spurs,Yes,4,2,Denver Nuggets,Yes
San Antonio Spurs,SAA,ABA,1976,ABA,3,NA,NA,NA,NA,NA,NA,3,4,New York Nets,No,NA,NA,NA,NA
Kentucky Colonels,KEN,ABA,1976,ABA,4,NA,NA,2,1,Indiana Pacers,Yes,3,4,Denver Nuggets,No,NA,NA,NA,NA
Indiana Pacers,INA,ABA,1976,ABA,5,NA,NA,1,2,Kentucky Colonels,No,NA,NA,NA,NA,NA,NA,NA,NA
Spirits of St. Louis,SSL,ABA,1976,ABA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Virginia Squires,VIR,ABA,1976,ABA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Diego Sails,SDS,ABA,1976,ABA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utah Stars,UTS,ABA,1976,ABA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
